Contents,,,,,,,,,,,,,,,,,,,,,
Table IM2019-T8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Internal migration between English regions, Wales, Scotland and Northern Ireland, square matrix, year ending June 2019",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,ORIGIN --------->,,,,,,,,,,,,,,,,,,,
,,OutRegion,,,,,,,,,,,,,,,,,,,
,,,,Yorkshire and,,,,,,,,,Northern ,,,,,,,,
DESTINATION,InRegion,North East,North West,The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Ireland,,Total,,,,,,
,,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004,S92000003,N92000002,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
North East,E12000001,-,"8,337","13,803","4,630","3,126","4,561","6,004","6,407","2,899","1,232","3,318",635,,"54,952",,,,,,
North West,E12000002,"8,485",-,"28,634","13,852","18,905","10,243","20,067","15,521","9,379","11,131","5,278","2,108",,"143,603",,,,,,
Yorkshire and The Humber,E12000003,"13,183","27,250",-,"24,682","10,454","11,910","15,554","13,930","6,842","2,972","3,323",599,,"130,699",,,,,,
East Midlands,E12000004,"3,580","13,068","24,022",-,"25,338","26,629","21,848","24,321","8,855","3,390","2,129",443,,"153,623",,,,,,
West Midlands,E12000005,"2,786","16,710","10,154","23,350",-,"11,554","23,911","20,632","16,545","9,191","2,375",575,,"137,784",,,,,,
East,E12000006,"3,374","7,622","9,038","18,905","9,870",-,"86,310","33,064","11,235","3,353","2,602",527,,"185,900",,,,,,
London,E12000007,"8,219","19,456","17,091","20,213","21,431","46,491",-,"80,382","26,164","7,196","7,273","1,387",,"255,304",,,,,,
South East,E12000008,"4,693","12,014","11,084","17,725","16,914","35,798","128,715",-,"41,909","8,107","4,791",989,,"282,740",,,,,,
South West,E12000009,"2,667","9,552","7,119","10,344","19,397","16,373","30,360","58,215",-,"13,716","3,181",597,,"171,521",,,,,,
Wales,W92000004,929,"11,427","3,079","4,069","10,782","4,260","6,921","11,313","16,603",-,"1,218",362,,"70,963",,,,,,
Scotland,S92000003,"3,386","6,271","4,513","3,211","2,783","4,258","7,897","7,347","4,133","1,586",-,"2,071",,"47,455",,,,,,
Northern Ireland,N92000002,501,"1,842",682,579,655,868,"1,710","1,458",765,403,"1,920",-,,"11,382",,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total,,"51,802","133,550","129,218","141,559","139,654","172,946","349,296","272,590","145,328","62,278","37,409","10,295",,"1,645,925",,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
